sentence_incorrect,sentence_correct,wrong,correct
Case lovite de trăznet,Case lovite de trăsnet,trăznet,trăsnet
NASA a făcut publice cele mai frumoase fotografii ale Terrei văzută din spațiu,NASA a făcut publice cele mai frumoase fotografii ale Terrei văzute din spațiu,văzută,văzute
Nu au vrut niciuna dintre ele să facă declarații,Nu a vrut niciuna dintre ele să facă declarații,au,a
"Președintele PNL, Crin Antonescu refuză taxa de solidaritate","Președintele PNL, Crin Antonescu, refuză taxa de solidaritate",Antonescu,"Antonescu,"
"Ei având casa cumpărată în rate, întabulată","Ei având casa cumpărată în rate, intabulată.",întabulată,intabulată.
duce-ți-vă naibii!,duceți-vă naibii!,duce-ți-vă,duceți-vă
Aveți servici?,Aveți serviciu?,servici?,serviciu?
suporterii spanioli incep să vină,suporterii spanioli încep să vină,incep,încep
dacă vroiați să vizitați,dacă voiați să vizitați,vroiați,voiați
"virusul a fost descoperit într-o gospodărie ..., după ce veteranii au fost informați că acolo muriseră mai multe păsări","virusul a fost descoperit într-o gospodărie ..., după ce veterinarii au fost informați că acolo muriseră mai multe păsări",veteranii,veterinarii
cred că astea sunt momente care trebuiesc studiate,cred că astea sunt momente care trebuie studiate,trebuiesc,trebuie
Ați văzut tastatura lor câți microbi pot ascunde,Ați văzut tastatura lor câți microbi poate ascunde,pot,poate
Nu înseamnă că vroia să vă închidă dosarul,Nu înseamnă că voia să vă închidă dosarul,vroia,voia
s-au dat drumul la tot soiul de aranjamente,s-a dat drumul la tot soiul de aranjamente,s-au,s-a
"Ori, aici ce discutăm","Or, aici ce discutăm","Ori,","Or,"
Un singur pas mai precede infernul.,Un singur pas mai precedă infernul.,precede,precedă
este ora doisprezece,este ora douăsprezece,doisprezece,douăsprezece
Niciunul dintre cei care au dat bacul nu mai sunt acum aici,Niciunul dintre cei care au dat bacul nu mai este acum aici,sunt,este
au aflat că sunt cei mai prost plătiți,au aflat că sunt cel mai prost plătiți,cei,cel
Se va legaliza prostituția și consumul de stupefiante?,Se vor legaliza prostituția și consumul de stupefiante?,va,vor
renunțarea pentru două sau trei zile la dulciurile care conțin zaharuri polisaturate pot duce la...,renunțarea pentru două sau trei zile la dulciurile care conțin zaharuri polisaturate poate duce la...,pot,poate
nu s-au oferit prea multe alternative,nu s-au oferit prea multe posibilități,alternative,posibilități
vom avea tot mai mulți restanțieri de credite,vom avea tot mai mulți restanțieri la credite,de,la
pentru că îl cunoaște pe primarul Vienei și pe cel al Moscovei,pentru că îi cunoaște pe primarul Vienei și pe cel al Moscovei,îl,îi
ratele interne ale băncilor când calculează dobânda la franci elvețieni a rămas practic la același nivel mare,ratele interne ale băncilor când calculează dobânda la franci elvețieni au rămas practic la același nivel mare,a,au
Marea Britanie sunt la cel mai scăzut nivel.,Marea Britanie este la cel mai scăzut nivel.,sunt,este
moțiunii de cenzură depusă de alianța PSD-PC,moțiunii de cenzură depuse de alianța PSD-PC,depusă,depuse
cred că unii dintre noi nici nu mai știm cine a fost cu adevărat cine a fost Nichita Stănescu,cred că unii dintre noi nici nu mai știu cine a fost cu adevărat cine a fost Nichita Stănescu,știm,știu
Prefericitul e supărat.,Preafericitul e supărat.,Prefericitul,Preafericitul
domnu’ a lucrat doar doisprezece zile,domnu’ a lucrat doar douăsprezece zile,doisprezece,douăsprezece
În urma unei plângeri depusă de parlamentarii PSD + PC,În urma unei plângeri depuse de parlamentarii PSD + PC,depusă,depuse
eu vroiam să vă întreb altceva,eu voiam să vă întreb altceva,vroiam,voiam
creind adesea,creând adesea,creind,creând
A apărut pe piața liberă astfel de piese.,Au apărut pe piața liberă astfel de piese.,A,Au
au mai rămas 298 de mii (...) de doze gratis,au mai rămas 298 de mii (...) de doze gratuite,gratis,gratuite
"Să nu le ofere alegătorilor bani și alimente, ci doar obiecte promoționale",Să nu le ofere alegătorilor bani și alimente ci doar obiecte promoționale,"alimente,",alimente
E bine tată?,"E bine, tată?",bine,"bine,"
Vroiam să încep cu ceva mai dulce,Voiam să încep cu ceva mai dulce,Vroiam,Voiam
"Deputații au adoptat astăzi, legi pe bandă rulantă",Deputații au adoptat astăzi legi pe bandă rulantă,"astăzi,",astăzi
reușește să cucerească pe fiecare sezon tot mai mulți adepți,reușește să cucerească în fiecare sezon tot mai mulți adepți,pe,în
a judecat astăzi recursul măsurii de arestare preventive,a judecat astăzi recursul măsurii de arestare preventivă,preventive,preventivă
ar putea fi pornită în maxim șase zile,ar putea fi pornită în maximum șase zile,maxim,maximum
Așează-te în față,Așază-te în față,Așează-te,Așază-te
A scris și o carte legată despre astrologia vedică,A scris și o carte legată de astrologia vedică,despre,de
adică să crească impozitele și să taie foarte,adică să mărească impozitele și să taie foarte,crească,mărească
nu au negat acizațiile,nu au negat acuzațiile,acizațiile,acuzațiile
Domnul Boc îi mai dau o misiune în seara asta,Domnului Boc îi mai dau o misiune în seara asta,Domnul,Domnului
la o anumită vârstă omul înebunește,la o anumită vârstă omul înnebunește,înebunește,înnebunește
În aceste lupte nu luaseră parte niciunul dintre rechizitorii prezenți în sală,În aceste lupte nu luase parte niciunul dintre rechizitorii prezenți în sală,luaseră,luase
Vroiam să vă spun...,Voiam să vă spun...,Vroiam,Voiam
"Agresorul sportivului, George Ionuț Tănăsoaia a fost arestat preventiv","Agresorul sportivului, George Ionuț Tănăsoaia, a fost arestat preventiv",Tănăsoaia,"Tănăsoaia,"
Practic o să fie două persoane.,"Practic, o să fie două persoane.",Practic,"Practic,"
trebuie să aibă minim liceul,trebuie să aibă minimum liceul,minim,minimum
se aude acum pe radio,se aude acum la radio,pe,la
Corina este una dintre artistele care nu se sfiește să arate...,Corina este una dintre artistele care nu se sfiesc să arate...,sfiește,sfiesc
asta e situtia,asta e situația,situtia,situația
speră că dosarele să fie gata până în primăvara anului,speră ca dosarele să fie gata până în primăvara anului,că,ca
Ce faci fată?,"Ce faci, fată?",faci,"faci,"
Osama omorât de Obama,"Osama, omorât de Obama",Osama,"Osama,"
Una dintre telenovelele care a spart audiențele,Una dintre telenovelele care au spart audiențele,a,au
"să demonteze fire, cable","să demonteze fire, cabluri",cable,cabluri
s-au bătut monezi,s-au bătut monede,monezi,monede
să lăsăm la o parte visele,să lăsăm la o parte visurile,visele,visurile
"în cadrul acestei întâlniri, care a luat final, de altfel","în cadrul acestei întâlniri, care a luat sfârșit, de altfel","final,","sfârșit,"
sediul Federației Revoluționarilor condusă de Bebe Ivanovici,sediul Federației Revoluționarilor conduse de Bebe Ivanovici,condusă,conduse
ar putea fi externat în maxim 48 de ore,ar putea fi externat în maximum 48 de ore,maxim,maximum
vroia să scape de el,voia să scape de el,vroia,voia
chiar vroiam să te întreb,chiar voiam să te întreb,vroiam,voiam
"se înregistrează întârzieri, 120 de minute maxim","se înregistrează întârzieri, 120 de minute maximum",maxim,maximum
niciun copil nu mai vroia să meargă,niciun copil nu mai voia să meargă,vroia,voia
Patriarhia Română se delcară împotriva legalizării prostituției,Patriarhia Română se declară împotriva legalizării prostituției,delcară,declară
în ofertă va apărea în premieră și apartamente vechi,în ofertă vor apărea în premieră și apartamente vechi,va,vor
și vorbea cu două fete care vroiau să plece,și vorbea cu două fete care voiau să plece,vroiau,voiau
ar fi un panaceu universal,ar fi un remediu universal,panaceu,remediu
ele au fost expuse pericolului ăsta de a se contamina,ele au fost expuse pericolului ăstuia de a se contamina,ăsta,ăstuia
Anunță-mă cînd i-ai nimerit.,Anunță-mă când i-ai nimerit.,cînd,când
Care a jucat rolul maicei starețe,Care a jucat rolul maicii starețe,maicei,maicii
"susține că ar fi văzut îngeri, precum și întregul Univers","susține că ar fi văzut îngeri, precum și întregul univers",Univers,univers
"ne uităm și noi pe calendar și constatăm aceste coincidențe care, din păcate, nu cred că pe cineva din țara asta îl face să trăiască mai bine...","ne uităm și noi pe calendar și constatăm aceste coincidențe care, din păcate, nu cred că pe cineva din țara asta îl fac să trăiască mai bine...",face,fac
bat clar din punct de vedere al ministerelor,bat clar din punctul de vedere al ministerelor,punct,punctul
exact despre asta vroiam să vorbim,exact despre asta voiam să vorbim,vroiam,voiam
unul dintre vagoanele din care ieri s-a lucrat 7 ore pentru scoaterea motorinei,unul dintre vagoanele la care ieri s-a lucrat 7 ore pentru scoaterea motorinei,din,la
"Ce spui mă, în mașina asta e iarbă peste tot","Ce spui, mă, în mașina asta e iarbă peste tot",spui,"spui,"
Franța: Ziua națională a țării marcată de o paradă militară,"Franța: Ziua națională a țării, marcată de o paradă militară",țării,"țării,"
"Astăzi, la Timișoara, trebuiau să aterizeze trei avioane cargo, și nu a venit niciunul","Astăzi, la Timișoara, trebuiau să aterizeze trei avioane cargou, și nu a venit niciunul","cargo,","cargou,"
Autoritățile se tem că vor mai dura câteva zile până când focul va fi stins de tot.,Autoritățile se tem că va mai dura câteva zile până când focul va fi stins de tot.,vor,va
vremea va fi în general instabil,vremea va fi în general instabilă,instabil,instabilă
cei opt miliarde,cele opt miliarde,cei,cele
Să-i bătem la funduleț pe toți,Să-i batem la funduleț pe toți,bătem,batem
Exact asta vroiam să vă întreb,Exact asta voiam să vă întreb,vroiam,voiam
"singur, în calitate de tata, ați încercat totuși să duceți aceste demersuri...?","singur, în calitate de tată, ați încercat totuși să duceți aceste demersuri...?","tata,","tată,"
"căpitanul lui Lazio, Ștefano Mauri a fost arestat","căpitanul lui Lazio, Stefano Mauri a fost arestat",Ștefano,Stefano
"Din păcate, nu e singurul produs la care vedem că se scumpește prețul","Din păcate, nu e singurul produs la care vedem că se mărește prețul",scumpește,mărește
a insistat ca măsurile [...] trebuie coordonate,a insistat că măsurile [...] trebuie coordonate,ca,că
"Așa cum Sârbu l-a omorât pe Florin Călinescu, pe Teo și așa mai departe","Așa cum Sârbu i-a omorât pe Florin Călinescu, pe Teo și așa mai departe",l-a,i-a
"Hai steliștilor, plecați acasă, steliștilor!","Hai, steliștilor, plecați acasă, steliștilor!",Hai,"Hai,"
vroiam să spun,voiam să spun,vroiam,voiam
cel care vroia să facă,cel care voia să facă,vroia,voia
Mii de persoane au fost evaucate în Ungaria și Slovacia,Mii de persoane au fost evacuate în Ungaria și Slovacia,evaucate,evacuate
cred că moartea băiatului ăsta va electrocuta toată...,cred că moartea băiatului ăstuia va electrocuta toată...,ăsta,ăstuia
Au trecut optisprezece ani de la revoluție,Au trecut optsprezece ani de la revoluție,optisprezece,optsprezece
sunt probleme și pe zona de munte,sunt probleme și în zona de munte,pe,în
să ne fi învățătură de minte,să ne fie învățătură de minte,fi,fie
"trebuia să am 20 de ani, să fiu student, ca să mă placeți","trebuia să am 20 de ani, să fiu student, ca să mă plăceți",placeți,plăceți
"În Kîrgîstan, forțele de ordine au fost suplimentate înaintea votului de mâine","În Kârgâzstan, forțele de ordine au fost suplimentate înaintea votului de mâine","Kîrgîstan,","Kârgâzstan,"
"Partidul Rusia Unită, condus de Putin a obținut 62,3%","Partidul Rusia Unită, condus de Putin, a obținut 62,3%",Putin,"Putin,"
Îți dau banii îmi dai chitanța,"Îți dau banii, îmi dai chitanța",banii,"banii,"
Oana Roman surprinsă într-o ținută neadecvată siluetei sale,"Oana Roman, surprinsă într-o ținută neadecvată siluetei sale",Roman,"Roman,"
va aduce un prejudiciu imens capacității mass-media de a…,va aduce un prejudiciu imens capacității mass-mediei de a…,mass-media,mass-mediei
"ea mai are niște dovezi, dar trebuiesc","ea mai are niște dovezi, dar trebuie",trebuiesc,trebuie
Nu există victime iar deocamdată nu se știe ce sumă a fost furată,"Nu există victime, iar deocamdată nu se știe ce sumă a fost furată",victime,"victime,"
"Mama copilului ucrainean în vârstă de 15 luni pe care dorește să-l adopte starul britanic Elton John, a anunțat că s-a răzgândit",Mama copilului ucrainean în vârstă de 15 luni pe care dorește să-l adopte starul britanic Elton John a anunțat că s-a răzgândit,"John,",John
cel care conduce din punct de vedere al procedurii,cel care conduce din punctul de vedere al procedurii,punct,punctul
"Nu, mă e Vanghelie!","Nu, mă, e Vanghelie!",mă,"mă,"
și-a făcut apariția razele soarelui,și-au făcut apariția razele soarelui,și-a,și-au
cum ar putea dispare civilizația mondială,cum ar putea dispărea civilizația mondială,dispare,dispărea
cu nervii întinși la maxim,cu nervii întinși la maximum,maxim,maximum
Cea mai grav afectată este Polonia.,Cel mai grav afectată este Polonia.,Cea,Cel
"ei citesc presa italiană, iar seara se uită pe televiziunile românești","ei citesc presa italiană, iar seara se uită la televiziunile românești",pe,la
câștigă o suită de accesorii de nelipsit din poșeta ta,câștigă o serie de accesorii de nelipsit din poșeta ta,suită,serie
sunt și români care le este teamă când văd astfel de lucruri,sunt și români cărora le este teamă când văd astfel de lucruri,care,cărora
"Primarul orașului ...,Vasile ..., în subordinea căreia se află Poliția comunitară","Primarul orașului ...,Vasile ..., în subordinea căruia se află Poliția comunitară",căreia,căruia
am niște hârtii întregi în care mi se interzic să pronunț,am niște hârtii întregi în care mi se interzice să pronunț,interzic,interzice
"un teribil de talentat pianist chinez, celebru în toată lumea, i s-au tăiat degetele","unui teribil de talentat pianist chinez, celebru în toată lumea, i s-au tăiat degetele",un,unui
Mergea așa lin dar nu mai merge deloc.,"Mergea așa lin, dar nu mai merge deloc.",lin,"lin,"
"Am observat acea discrepanță de fonduri, mai ales că, taxa legală de cinci lei a fost deja achitată la poștă","Am observat acea discrepanță de fonduri, mai ales că taxa legală de cinci lei a fost deja achitată la poștă","că,",că
era rezervat pastilelor pentu slăbit.,era rezervată pastilelor pentu slăbit.,rezervat,rezervată
la graniță și i s-a cerut roviniete valabile pentru toată perioada șederii lor în România,la graniță și i s-au cerut roviniete valabile pentru toată perioada șederii lor în România,s-a,s-au
Eu mai vreau nicște creveți,Eu mai vreau niște creveți,nicște,niște
prețul biletelor de avion sunt în continuă creștere,prețul biletelor de avion este în continuă creștere,sunt,este
ne aflăm în perioada marilor schimbari,ne aflăm în perioada marilor schimbări,schimbari,schimbări
"Primăriile ar putea decide, dacă eutanasiază sau nu",Primăriile ar putea decide dacă eutanasiază sau nu,"decide,",decide
cum am putea să ștergem amenzile pe rovignetă,cum am putea să ștergem amenzile pentru rovignetă,pe,pentru
Nu te supăra frate!,"Nu te supăra, frate!",supăra,"supăra,"
vroia să-l înfieze,voia să-l înfieze,vroia,voia
"Cu un om simplu care nu are nicio putere, care îi e frică","Cu un om simplu care nu are nicio putere, căruia îi e frică",care,căruia
și merită să aibe descendență,și merită să aibă descendență,aibe,aibă
Deja vebeam încoace,Deja veneam încoace,vebeam,veneam
"Le suportăm, ne complacem","Le suportăm, ne complăcem",complacem,complăcem
cine merită s-o aibe,cine merită s-o aibă,aibe,aibă
"Tarja Halonen, președintele Finlandei a fost prezentă la Shanghai","Tarja Halonen, președintele Finlandei, a fost prezentă la Shanghai",Finlandei,"Finlandei,"
va deveni cea mai bine păzită capitală din lume,va deveni cel mai bine păzită capitală din lume,cea,cel
Administrația Obama va prezenta astăzi nouă strategie nucleară,Administrația Obama va prezenta astăzi noua strategie nucleară,nouă,noua
Nu avea viteză nu avea nimic,"Nu avea viteză, nu avea nimic",viteză,"viteză,"
nu este chiar un Logan din punct de vedere al formei,nu este chiar un Logan din punctul de vedere al formei,punct,punctul
așa cum îl cântă englezii pe-ai lor,așa cum îl cântă englezii pe-al lor,pe-ai,pe-al
le omoară expresia mimicii,le omoară expresia feței,mimicii,feței
"O decizie destul de grea cred c-a avut atât juriul, cât și publicul, să aleagă 11 finaliști.","O decizie destul de grea cred c-au avut atât juriul, cât și publicul, să aleagă 11 finaliști.",c-a,c-au
din punct de vedere al dosarului pe care trebuie,din punctul de vedere al dosarului pe care trebuie,punct,punctul
"Președintele PNL, Crin Antonescu, a declarant că...","Președintele PNL, Crin Antonescu, a declarat că...",declarant,declarat
Care au fost principalele problematici pe care le-ați ridicat alături de aceștia la masa rotundă?,Care au fost principalele probleme pe care le-ați ridicat alături de aceștia la masa rotundă?,problematici,probleme
"Faptul că de 4 zile nu poate să scadă temperatura în reactor, spune multe",Faptul că de 4 zile nu poate să scadă temperatura în reactor spune multe,"reactor,",reactor
"Dacă nu poți să ai grijă de el doamnă, îl voi lua eu.","Dacă nu poți să ai grijă de el, doamnă, îl voi lua eu.",el,"el,"
"300 de mii, 400 de mii maxim costă","300 de mii, 400 de mii maximum costă",maxim,maximum
"Dominique Strauss-Kahn, va primi compensații...",Dominique Strauss-Kahn va primi compensații...,"Strauss-Kahn,",Strauss-Kahn
Locuitorii capitalei sunt cei mai bine plătiți români,Locuitorii capitalei sunt cel mai bine plătiți români,cei,cel
pot fi anchetați de contrabandă,pot fi anchetați pentru contrabandă,de,pentru
"Tânărul a comandat de pe internet, 140 de kilograme de explozibil",Tânărul a comandat de pe internet 140 de kilograme de explozibil,"internet,",internet
ATENȚIE STUDENȚI!,"ATENȚIE, STUDENȚI!",ATENȚIE,"ATENȚIE,"
unu din 10 oameni cred că sfârșitul lumii va avea loc în acest an,unu din 10 oameni crede că sfârșitul lumii va avea loc în acest an,cred,crede
"un om care trebuie să vină zilnic și la servici, și la","un om care trebuie să vină zilnic și la serviciu, și la","servici,","serviciu,"
A fost cea mai bine plătită actriță de la Hollywood,A fost cel mai bine plătită actriță de la Hollywood,cea,cel
toată locația arată extraordinar,toată locuința arată extraordinar,locația,locuința
prejudiciul este estimat de câteva milioane de euro,prejudiciul este estimat la câteva milioane de euro,de,la
Da cam pe la ce oră vin?,Da’ cam pe la ce oră vin?,Da,Da’
"o mare artistă care, probabil, de fiecare dată când îi ascultăm cântecele","o mare artistă căreia, probabil, de fiecare dată când îi ascultăm cântecele","care,","căreia,"
campionatul național de raliu va debuta săptămâna viitoare la Iași,campionatul național de raliu va începe săptămâna viitoare la Iași,debuta,începe
"Oameni buni vă omorâți unul pe altul, nu mai împingeți!","Oameni buni, vă omorâți unul pe altul, nu mai împingeți!",buni,"buni,"
"dacă v-a invitat la guvernare și dacă da, pe ce anume","dacă v-a invitat la guvernare și dacă da, pe ce portofolii",anume,portofolii
Sandu se gândește la banii boșilor.,Sandu se gândește la banii șefilor.,boșilor.,șefilor.
"prima oară în România, normal, unde vroiați","prima oară în România, normal, unde voiați",vroiați,voiați
Sunt foarte atente monitorizate,Sunt foarte atent monitorizate,atente,atent
deputații din comisia de muncă a adoptat miercuri,deputații din comisia de muncă au adoptat miercuri,a,au
Funerariile care se vor desfășura într-un final la catedrala Wawel,Funeraliile care se vor desfășura într-un final la catedrala Wawel,Funerariile,Funeraliile
Am decât litera L,Am numai litera L,decât,numai
vești nu prea au cine să le dea,vești nu prea are cine să le dea,au,are
Îndepartează bacteriile,Îndepărtează bacteriile,Îndepartează,Îndepărtează
s-a mers greu din cauza ceței,s-a mers greu din cauza ceții,ceței,ceții
ceea ce reclamă ei sînt restrângerea unor drepturi,ceea ce reclamă ei este restrângerea unor drepturi,sînt,este
"Azi, jaful USL-ului din 2008, a fost legalizat cu votul...","Azi, jaful USL-ului din 2008 a fost legalizat cu votul...","2008,",2008
cele 16 litere ale numelui vulcanului (...) dă mari dureri de cap,cele 16 litere ale numelui vulcanului (...) dau mari dureri de cap,dă,dau
"Sunt destul de feciorelnic, dar îmi permit lucrul acesta.","Sunt destul de timid, dar îmi permit lucrul acesta.","feciorelnic,","timid,"
vroiam să-l întreb pe domnul,voiam să-l întreb pe domnul,vroiam,voiam
din cauza îmbulzelei s-a produs acest incident,din cauza îmbulzelii s-a produs acest incident,îmbulzelei,îmbulzelii
Pune-ți fularul domnule Materazzi!,"Pune-ți fularul, domnule Materazzi!",fularul,"fularul,"
trebuie fructificată la maxim,trebuie fructificată la maximum,maxim,maximum
și noi instalăm aceste gigaelectroni,și noi instalăm acești gigaelectroni,aceste,acești
de foametea în care i-a adus USL și PDL,de foametea în care i-au adus USL și PDL,i-a,i-au
Britanicul Robert Edwards a câștigat Premiului Nobel pentru Medicină,Britanicul Robert Edwards a câștigat Premiul Nobel pentru Medicină,Premiului,Premiul
Lucruri care trebuiesc puse la punct,Lucruri care trebuie puse la punct,trebuiesc,trebuie
"Puterea și Opoziția s-au certat, din nou, pe tema Curții Constituționale","Puterea și opoziția s-au certat, din nou, pe tema Curții Constituționale",Opoziția,opoziția
Pe vremuri puneau abțibilde de-alea rotunde,Pe vremuri puneau abțibilduri de-alea rotunde,abțibilde,abțibilduri
Drama prin care trece Liana Stanciu și Mihai de la Bere gratis,Drama prin care trec Liana Stanciu și Mihai de la Bere gratis,trece,trec
excludeau varianta ca asasinul băiatului să fie același cu cel al femeii găsite decapitate,excludeau varianta ca asasinul băiatului să fie același cu cel al femeii găsite decapitată,decapitate,decapitată
să-i întrebăm ceva și pe microfon,să-i întrebăm ceva și la microfon,pe,la
unii s-au jucat în telefon,unii s-au jucat pe telefon,în,pe
va prezenta astăzi un mesaj pe probleme...,va prezenta astăzi un mesaj privind probleme...,pe,privind
Hacker-ul a postat 3 mesaje.,Hackerul a postat 3 mesaje.,Hacker-ul,Hackerul
li se promiseseră militarilor români din Afganistan că vor avea parte de niște mașini blindate,li se promisese militarilor români din Afganistan că vor avea parte de niște mașini blindate,promiseseră,promisese
Nu v-ar displace să vă oferim un bilet,Nu v-ar displăcea să vă oferim un bilet,displace,displăcea
Sunt cele ale Ana-Mariei,Sunt cele ale Anei-Maria,Ana-Mariei,Anei-Maria
A atras la maxim atenția.,A atras la maximum atenția.,maxim,maximum
"Dă-mi te rog, manșeta","Dă-mi, te rog, manșeta",Dă-mi,"Dă-mi,"
"Meseria de avocat este foarte solicitanta, și cu…",Meseria de avocat este foarte solicitantă și cu…,"solicitanta,",solicitantă
incubatoarele în care noi-născuții erau ținuți sunt foarte vechi,incubatoarele în care nou-născuții erau ținuți sunt foarte vechi,noi-născuții,nou-născuții
"Bronislaw Komorovski, președintele Dietei a preluat conducerea Poloniei.","Bronislaw Komorovski, președintele Dietei, a preluat conducerea Poloniei.",Dietei,"Dietei,"
În ultimile două meciuri,În ultimele două meciuri,ultimile,ultimele
[...] inspectorii Casei de Asigurări fac controale prea dese iar amenzile sunt egale cu câștigul pe o lună,"[...] inspectorii Casei de Asigurări fac controale prea dese, iar amenzile sunt egale cu câștigul pe o lună",dese,"dese,"
"Maria Corina, fata de 15 ani a fost furată și vândută","Maria Corina, fata de 15 ani, a fost furată și vândută",ani,"ani,"
"clica aflată azi la putere pe care o acuză, nu-i așa, onor opoziția, ar înfunda sau ar fi dați în judecată","clica aflată azi la putere pe care o acuză, nu-i așa, onor opoziția, ar înfunda sau ar fi dată în judecată",dați,dată
Bordurile trebuiesc puse,Bordurile trebuie puse,trebuiesc,trebuie
Zi-mi e simplu!,"Zi-mi, e simplu!",Zi-mi,"Zi-mi,"
mai multe cărți legate despre acest subiect,mai multe cărți legate de acest subiect,despre,de
Teo se roagă de Sârbu s-o reprimească înapoi,Teo se roagă de Sârbu s-o primească înapoi,reprimească,primească
profesoara care se afllă în…,profesoara care se află în…,afllă,află
Mașina circula pe baza unei autorizații de circulație expirată din luna ianuarie,Mașina circula pe baza unei autorizații de circulație expirate din luna ianuarie,expirată,expirate
să intre în fostul cazino,să intre în fostul cazinou,cazino,cazinou
"Unora le place soarele, altora le plac ploaia.","Unora le place soarele, altora le place ploaia.",plac,place
Părinții au focut o plângere,Părinții au făcut o plângere,focut,făcut
este înregistrat în doisprezece țări,este înregistrat în douăsprezece țări,doisprezece,douăsprezece
vroia să-l părăsească,voia să-l părăsească,vroia,voia
"să se întoarcă legea la comisie, în așa fel încât ea să fie pitrocită cum trebuie","să se întoarcă legea la comisie, în așa fel încât ea să fie pritocită cum trebuie",pitrocită,pritocită
și cred că meritați să aibe succes acțiunea dumneavoastră,și cred că meritați să aibă succes acțiunea dumneavoastră,aibe,aibă
17 persoane... care au emis mandate de arestare pentru aceștia,17 persoane... care au emis mandate de arestare pentru acestea,aceștia,acestea
Ceea ce nu vroiai tu să crezi era adevărat,Ceea ce nu voiai tu să crezi era adevărat,vroiai,voiai
toată această procedură ar trebui să se întâmple în maxim patru zile,toată această procedură ar trebui să se întâmple în maximum patru zile,maxim,maximum
Și băieții care le spun frumoșii de la sunet.,Și băieții cărora le spun frumoșii de la sunet.,care,cărora
Oamenii cred că aghiazma...,Oamenii cred că agheasma...,aghiazma...,agheasma...
"Cu tatăl copiilor, care știu că nu vroia să...","Cu tatăl copiilor, care știu că nu voia să...",vroia,voia
Domnule ministru ascultați-mă acum,"Domnule ministru, ascultați-mă acum",ministru,"ministru,"
Pe fondul crizei provocată de declanșarea independenței,Pe fondul crizei provocate de declanșarea independenței,provocată,provocate
"Să devii cel mai bun, este doar o chestiune de timp",Să devii cel mai bun este doar o chestiune de timp,"bun,",bun
Dute la tanti...,Du-te la tanti...,Dute,Du-te
dă ordine indiferent de conducerea ...,"dă ordine, indiferent de conducerea ...",ordine,"ordine,"
ți-ar place să pleci,ți-ar plăcea să pleci,place,plăcea
asemenea talent trebuie exploatat la maxim,asemenea talent trebuie exploatat la maximum,maxim,maximum
Confiscarea averilor ilicite aprobată de Guvern,"Confiscarea averilor ilicite, aprobată de Guvern",ilicite,"ilicite,"
"Astăzi și mâine, alte mii de pelerini sunt așteptate să vină la racla Sfântului.","Astăzi și mâine, alte mii de pelerini sunt așteptați să vină la racla Sfântului.",așteptate,așteptați
nu poți schimba situația iar în finală...,"nu poți schimba situația, iar în finală...",situația,"situația,"
Trăiască samba,Trăiască samba!,samba,samba!
"Liderii politici ai partidelor care au jefuit România în ultimii 21 de ani, s-au prăbușit în sondaje",Liderii politici ai partidelor care au jefuit România în ultimii 21 de ani s-au prăbușit în sondaje,"ani,",ani
Nor care se pare că se apropie și spre țara noastră,Nor care se pare că se apropie și de țara noastră,spre,de
urmează să înceapă tratamentul postoperator,urmează să înceapă tratamentul postoperatoriu,postoperator,postoperatoriu
Obreja a bâgăit aseară niște explicații,Obreja a bâiguit aseară niște explicații,bâgăit,bâiguit
aceeași familie va plăti minim 540 de lei,aceeași familie va plăti minimum 540 de lei,minim,minimum
Și dacă în continuare vor apare vânătăi,Și dacă în continuare vor apărea vânătăi,apare,apărea
vă oferă consultanță juridică per problema pe care o aveți,vă oferă consultanță juridică pentru problema pe care o aveți,per,pentru
ziua de astăzi a arătat cât de cât normală,ziua de astăzi a arătat cât de cât normal,normală,normal
se pregătește vopseaua și plaja,se pregătesc vopseaua și plaja,pregătește,pregătesc
mai sunt de petrecut exact o sută unu zile,mai sunt de petrecut exact o sută una zile,unu,una
Ce-s cu porcii ăștia turbați?,Ce-i cu porcii ăștia turbați?,Ce-s,Ce-i
medici rezidenți au fost nevoiți să ...,medicii rezidenți au fost nevoiți să ...,medici,medicii
"nu există, în acest moment, semne, că peste trei luni","nu există, în acest moment, semne că peste trei luni","semne,",semne
"Cel care vinde, va lăsa un mic ajutor pentru biserică",Cel care vinde va lăsa un mic ajutor pentru biserică,"vinde,",vinde
director executiv al unui fond de investiți,director executiv al unui fond de investiții,investiți,investiții
imaginile nu le-au mai văzut încă nimeni la o televiziune,imaginile nu le-a mai văzut încă nimeni la o televiziune,le-au,le-a
în proces sunt puși sub acuzare doi acuzați,în proces sunt puși sub acuzare doi suspecți,acuzați,suspecți
pentru a-și crește veniturile,pentru a-și mări veniturile,crește,mări
"să vedem ce mai găsim pe final de oră, da?","să vedem ce mai găsim la final de oră, da?",pe,la
Trecem la cazul dramatic al unei fete dată dispărută.,Trecem la cazul dramatic al unei fete date dispărută.,dată,date
competiției disputată la București,competiției disputate la București,disputată,disputate
"Luați-l doamnă, pe ăla!","Luați-l, doamnă, pe ăla!",Luați-l,"Luați-l,"
Vroiam să știm dacă se împacă sau nu,Voiam să știm dacă se împacă sau nu,Vroiam,Voiam
"Din păcate, nu facem critica media astăzi","Din păcate, nu facem critica mediei astăzi",media,mediei
"oricât de vehement este la tribună, liderul PRM îi e drag să glumească","oricât de vehement este la tribună, liderului PRM îi e drag să glumească",liderul,liderului
