sentence_incorrect,sentence_correct,wrong,correct
trebuie să va spun,trebuie să vă spun,va,vă
"Ah, da se simte foarte tare","Ah, da, se simte foarte tare",da,"da,"
nu cred că există o televiziune publică să aibe o oră dedicată romilor,nu cred că există o televiziune publică să aibă o oră dedicată romilor,aibe,aibă
cât luasei în greutate?,cât luaseși în greutate?,luasei,luaseși
"Băiatul din provincie care reușește în viață și se întoarce, arată lumii că acesta este un oraș bun",Băiatul din provincie care reușește în viață și se întoarce arată lumii că acesta este un oraș bun,"întoarce,",întoarce
să cheme la consultări partidele politice parlamentare pentru a afla de la aceștia...,să cheme la consultări partidele politice parlamentare pentru a afla de la acestea...,aceștia...,acestea...
"Adio, dar rămân cu tine","Adio, dar rămân cu tine!",tine,tine!
A DECLARAT ÎN CADRUL CONFERINȚĂ DE PRESĂ,A DECLARAT ÎN CADRUL CONFERINȚEI DE PRESĂ,CONFERINȚĂ,CONFERINȚEI
și s-a șu uscat,și s-a și uscat,șu,și
"autoritățile nu au reacționat la timp, deși fuseseră avertizați că o să ningă","autoritățile nu au reacționat la timp, deși fuseseră avertizate că o să ningă",avertizați,avertizate
Erau tineri ținuți doisprezece ore pe stadioane,Erau tineri ținuți douăsprezece ore pe stadioane,doisprezece,douăsprezece
au o singură nevastă dar o înșală des.,"au o singură nevastă, dar o înșală des.",nevastă,"nevastă,"
Mi-aș dori o victorie dar nu cred...,"Mi-aș dori o victorie, dar nu cred...",victorie,"victorie,"
"sunt acum în zonă, afectată de alunecarea...",sunt acum în zona afectată de alunecarea...,"zonă,",zona
vroiam să mai discutăm un pic despre nuntă,voiam să mai discutăm un pic despre nuntă,vroiam,voiam
în ce măsură afirmațiile lui Dan Nica cu [...] a dus la demiterea sa,în ce măsură afirmațiile lui Dan Nica cu [...] au dus la demiterea sa,a,au
Speră că Teheranul să nu înceapă...,Speră ca Teheranul să nu înceapă...,că,ca
Federația AGROSTAR cere [...] să nu impună taxe producători agricoli,Federația AGROSTAR cere [...] să nu impună taxe producătorilor agricoli,producători,producătorilor
Care exprimă la maxim această sintagmă,Care exprimă la maximum această sintagmă,maxim,maximum
asta vroiam să spun de o bucată de vreme,asta voiam să spun de o bucată de vreme,vroiam,voiam
Bebluș scăpat în cap,Bebeluș scăpat în cap,Bebluș,Bebeluș
De regulă arestările se fac vinerea,"De regulă, arestările se fac vinerea",regulă,"regulă,"
ai șansa de a câștiga 1600 de roni,ai șansa de a câștiga 1600 de RON,roni,RON
Dumneavoastră puteți prevede cutremure la ei?,Dumneavoastră puteți prevedea cutremure la ei?,prevede,prevedea
a exploatat zona la maxim,a exploatat zona la maximum,maxim,maximum
"Ce faceți mă, vreți să mă dezbrac?","Ce faceți, mă, vreți să mă dezbrac?",faceți,"faceți,"
Băsescu: Nu voi contesta deciziile CC privind referendumului,Băsescu: Nu voi contesta deciziile CC privind referendumul,referendumului,referendumul
Ambele au fost operate în aceeași zi dar de medici diferiți,"Ambele au fost operate în aceeași zi, dar de medici diferiți",zi,"zi,"
"În final e o atmosferă, nu cum ar fi trebuit să fie!",În final e o atmosferă nu cum ar fi trebuit să fie!,"atmosferă,",atmosferă
fără să cunoască mângâierea mamei sau al tatălui,fără să cunoască mângâierea mamei sau a tatălui,al,a
colaborâre la dezvoltarea de motoare,colaborare la dezvoltarea de motoare,colaborâre,colaborare
fac parte dintr-o rețea care au adus 500 de kilograme de canabis din Spania,fac parte dintr-o rețea care a adus 500 de kilograme de canabis din Spania,au,a
"Avocații spun că toate lucrurile care i-au dispărut lui Pepe, îi aparțineau",Avocații spun că toate lucrurile care i-au dispărut lui Pepe îi aparțineau,"Pepe,",Pepe
ne-a mâncat foarte mult spațiu de emisie cu alocuțiunile sale din Parlament,ne-a mâncat foarte mult spațiu de emisie cu discursurile sale din Parlament,alocuțiunile,discursurile
Întotdeauna sunt aceeași oameni care plătesc.,Întotdeauna sunt aceiași oameni care plătesc.,aceeași,aceiași
Înțelegeți că vă rupeți picioarele oameni buni!,"Înțelegeți că vă rupeți picioarele, oameni buni!",picioarele,"picioarele,"
nici mâine vremea nu dă semne de însănătoșire,nici mâine vremea nu dă semne de îmbunătățire,însănătoșire,îmbunătățire
oamenii vroiau să ajungă de la Vârful Omu la Bran,oamenii voiau să ajungă de la Vârful Omu la Bran,vroiau,voiau
"Niște agreementuri, bă, ținem așa...","Niște acorduri, bă, ținem așa...","agreementuri,","acorduri,"
Au ascultat la maxim Costi Ioniță,Au ascultat la maximum Costi Ioniță,maxim,maximum
în cadrul unei ceremonii prilejuită de...,în cadrul unei ceremonii prilejuite de...,prilejuită,prilejuite
Da e prima!,"Da, e prima!",Da,"Da,"
Doar puțin să rămâneți în telefon și dumneavoastră!,Doar puțin să rămâneți la telefon și dumneavoastră!,în,la
Ce-i dorești tu sorei tale?,Ce-i dorești tu surorii tale?,sorei,surorii
"s-a votat, în plen, cu cartela acesteia deși democrat-liberala nu se afla în sală","s-a votat, în plen, cu cartela acesteia, deși democrat-liberala nu se afla în sală",acesteia,"acesteia,"
"Ori, în acest sistem, pensiile depind în mod direct de cât de mult putem plăti noi, cei activi","Or, în acest sistem, pensiile depind în mod direct de cât de mult putem plăti noi, cei activi","Ori,","Or,"
Depozitate într-un seif PSD vroia să schimbe,Depozitate într-un seif PSD voia să schimbe,vroia,voia
Decizia trebuia dată pe douăzeci și doi mai,Decizia trebuia dată pe douăzeci și două mai,doi,două
"Pe 16 martie, Europa FM și Par Avion te trimite la concert","Pe 16 martie, Europa FM și Par Avion te trimit la concert",trimite,trimit
"Opoziția însă, prin PNL și UDMR, răspund că...","Opoziția însă, prin PNL și UDMR, răspunde că...",răspund,răspunde
"aș spune, că nu îndrăznesc să sper la ce s-a întâmplat la precedenta moțiune",aș spune că nu îndrăznesc să sper la ce s-a întâmplat la precedenta moțiune,"spune,",spune
"Liderii PRM, M. Marinescu și C. Ștefănescu s-au bătut cu polițiștii comunitari în sala Consiliului General","Liderii PRM, M. Marinescu și C. Ștefănescu, s-au bătut cu polițiștii comunitari în sala Consiliului General",Ștefănescu,"Ștefănescu,"
Eu mă așteptam că iau 10 la filozofie.,Eu mă așteptam să iau 10 la filozofie.,că,să
să aibe grijile lor,să aibă grijile lor,aibe,aibă
toate datele sunt în parametrii normali,toate datele sunt în parametri normali,parametrii,parametri
se spune că sunteți cei care aveți butoanele,se spune că sunteți cei care au butoanele,aveți,au
"Oameni care le pasă, oameni care s-au implicat.","Oameni cărora le pasă, oameni care s-au implicat.",care,cărora
trenul va avea o întârziere de maxim trei ore,trenul va avea o întârziere de maximum trei ore,maxim,maximum
când Biserica Ortodoxă și Teoctist făcuse o mare greșeală,când Biserica Ortodoxă și Teoctist făcuseră o mare greșeală,făcuse,făcuseră
să găsească soluții în criza imigranților,să găsească soluții pentru criza imigranților,în,pentru
"De asemeni, există și foarte multe preocupări la nivel casnic.","De asemenea, există și foarte multe preocupări la nivel casnic.","asemeni,","asemenea,"
Băsescu: Dacă nu oprim criza politică se prăbușește țara.,"Băsescu: Dacă nu oprim criza politică, se prăbușește țara.",politică,"politică,"
"Tocmai vroiam să zic: băi, ce chipeș ești!","Tocmai voiam să zic: băi, ce chipeș ești!",vroiam,voiam
"Deșteaptă-te române, din somnul cel de moarte","Deșteaptă-te, române, din somnul cel de moarte",Deșteaptă-te,"Deșteaptă-te,"
«Trenuri bine păzite» este unul dintre cele mai cunoscute opere ale regizorului,«Trenuri bine păzite» este una dintre cele mai cunoscute opere ale regizorului,unul,una
E treaba cu partidele mă.,"E treaba cu partidele, mă.",partidele,"partidele,"
vroiam să vorbesc cu dumneavoastră,voiam să vorbesc cu dumneavoastră,vroiam,voiam
omul e interesat în albină cel mai mult,omul e interesat de albină cel mai mult,în,de
a fost surprins cu unul dintre pantofi găuriți în talpă,a fost surprins cu unul dintre pantofi găurit în talpă,găuriți,găurit
Evenimentele se succed rapid,Evenimentele se succedă rapid,succed,succedă
se circulă pe acest segment cu maxim patruzeci de,se circulă pe acest segment cu maximum patruzeci de,maxim,maximum
Știu am văzut.,"Știu, am văzut.",Știu,"Știu,"
Cum merge treaba doamnă?,"Cum merge treaba, doamnă?",treaba,"treaba,"
trebuiesc însă luate la timp,trebuie însă luate la timp,trebuiesc,trebuie
Trebuie să obțină acordul personal al primului-,Trebuie să obțină acordul personal al prim-ministrului,primului-,prim-ministrului
Președintele s-a referit și despre...,Președintele s-a referit și la...,despre...,la...
Omul bănuia că femeia cu care avea o relație îl înșeală.,Omul bănuia că femeia cu care avea o relație îl înșală.,înșeală.,înșală.
asta ca să ne amintim și despre o secvență alături de Gheorghe Dinică,asta ca să ne amintim și de o secvență alături de Gheorghe Dinică,despre,de
Aceștia s-au lovit și de refuzul polițiștilor comunitari care i-a cerut...,Aceștia s-au lovit și de refuzul polițiștilor comunitari care le-au cerut...,i-a,le-au
"susținând, că nu are nicio înțelegere",susținând că nu are nicio înțelegere,"susținând,",susținând
Min. de Externe al Olandei monitorizează România,Ministerul de Externe al Olandei monitorizează România,Min.,Ministerul
"Copilul a avut dispute, din fericire doar verbale și subliniez acest lucru [...]","Copilul a avut dispute, din fericire doar verbale, și subliniez acest lucru [...]",verbale,"verbale,"
Acele linii care este punctul de pornire,Acele linii care sunt punctul de pornire,este,sunt
"să plătești în plus trei sau patru milioane, nu e foarte bine",să plătești în plus trei sau patru milioane nu e foarte bine,"milioane,",milioane
"Televiziunea Alfa, televiziunea Beta [...] îi duce pe proști unde vor ele","Televiziunea Alfa, televiziunea Beta [...] îi duc pe proști unde vor ele",duce,duc
Problemele romilor din Suedia sunt aceleași cu a romilor din...,Problemele romilor din Suedia sunt aceleași cu ale romilor din...,a,ale
cea mai mare parte a reducerilor vor afecta cheltuielile sociale și mai ales indemnizațiile pentru șomerii de lungă durată,cea mai mare parte a reducerilor va afecta cheltuielile sociale și mai ales indemnizațiile pentru șomerii de lungă durată,vor,va
vroiau să ajungă la Singapore,voiau să ajungă la Singapore,vroiau,voiau
propun program de educație al părinților,propun program de educație a părinților,al,a
am aniversat fix un anișor,am sărbătorit fix un anișor,aniversat,sărbătorit
"parte a unui complot, a unei lovituri de stat executată în Parlament","parte a unui complot, a unei lovituri de stat executate în Parlament",executată,executate
"Uite, vroiai să-mi oferi un sejur în București.","Uite, voiai să-mi oferi un sejur în București.",vroiai,voiai
Vă iubim și vă respectăm doamnă!,"Vă iubim și vă respectăm, doamnă!",respectăm,"respectăm,"
Dacă tot vroia să fie el imaculat,Dacă tot voia să fie el imaculat,vroia,voia
CFR [...] nu mai trece prin evaluare iar salariile nu vor mai fi reduse,"CFR [...] nu mai trece prin evaluare, iar salariile nu vor mai fi reduse",evaluare,"evaluare,"
"Toată lumea știe că mi-ați mâncat viața, DJ-eii de la mare","Toată lumea știe că mi-ați mâncat viața, DJ-ei de la mare",DJ-eii,DJ-ei
"Tâlharii prinși, victima e în comă!","Tâlharii, prinși, victima e în comă!",Tâlharii,"Tâlharii,"
"Președintele S.U.A., Barack Obama a câștigat Premiul Nobel","Președintele S.U.A., Barack Obama, a câștigat Premiul Nobel",Obama,"Obama,"
temperatura minim va fi,temperatura minimă va fi,minim,minimă
printre proiectele aflate în discuție pe ordinea de zi se află și cea privind modificarea Codului Fiscal,printre proiectele aflate în discuție pe ordinea de zi se află și cel privind modificarea Codului Fiscal,cea,cel
Greul îl va duce Videanu și Blaga în continuare,Greul îl vor duce Videanu și Blaga în continuare,va,vor
Britanicii și-au cerut scuze iar oficialul a fost mutat la un alt departament,"Britanicii și-au cerut scuze, iar oficialul a fost mutat la un alt departament",scuze,"scuze,"
Minimelele se vor situa între 7 și 20 de grade,Minimele se vor situa între 7 și 20 de grade,Minimelele,Minimele
Cu douăzeci și una de puncte,Cu douăzeci și unu de puncte,una,unu
"Avionul, degivrat cu o mătură","Avionul, dejivrat cu o mătură",degivrat,dejivrat
Dramatica poveste a tinerei dată dispărută.,Dramatica poveste a tinerei date dispărută.,dată,date
"Fostul șef al Parchetului Giurgiu, Gh. Neagoe ar fi mers la un chef al clanului Butoane","Fostul șef al Parchetului Giurgiu, Gh. Neagoe, ar fi mers la un chef al clanului Butoane",Neagoe,"Neagoe,"
mi s-a făcut vrăji,mi s-au făcut vrăji,s-a,s-au
prefectura reduce cu 5% nr. posturilor,prefectura reduce cu 5% numărul posturilor,nr.,numărul
o posibilă acțiune militară irakiană asupra unei enclave protejată de forțele americane,o posibilă acțiune militară irakiană asupra unei enclave protejate de forțele americane,protejată,protejate
"Bună seara, doamna, ne uităm cum arată România lui 2012","Bună seara, doamnă, ne uităm cum arată România lui 2012","doamna,","doamnă,"
Copiii pot să servească și prânzul,Copiii pot să ia și prânzul,servească,ia
tensiunea care precede evenimentul,tensiunea care precedă evenimentul,precede,precedă
Ancheta va dura maxim treizeci de zile,Ancheta va dura maximum treizeci de zile,maxim,maximum
va scri de două ori Dan Diaconescu pe buletinul de vot,va scrie de două ori Dan Diaconescu pe buletinul de vot,scri,scrie
"Fratele fetei și un prieten al acestuia au fost reținuți de procurori, fiind suspectat de omor deosebit de grav.","Fratele fetei și un prieten al acestuia au fost reținuți de procurori, fiind suspectați de omor deosebit de grav.",suspectat,suspectați
să-și mărești la maxim șansele de a fi salvat,să-și mărești la maximum șansele de a fi salvat,maxim,maximum
altceva vroiam să spun,altceva voiam să spun,vroiam,voiam
nu o să aiba probleme,nu o să aibă probleme,aiba,aibă
acest dosar a ajuns pe masa procurorului ăsta șef,acest dosar a ajuns pe masa procurorului ăstuia șef,ăsta,ăstuia
astfel se deschide calea unor repatrieri de urgență a minorilor,astfel se deschide calea unor repatrieri de urgență ale minorilor,a,ale
elevii au timp până mâine la ora doisprezece,elevii au timp până mâine la ora douăsprezece,doisprezece,douăsprezece
nu au asistat al discurs,nu au asistat la discurs,al,la
și oameni care au oricum foarte puțini bani să li se ia și…,și oamenilor care au oricum foarte puțini bani să li se ia și…,oameni,oamenilor
"Nu sunt psiholog, măcar în direcția asta nici atât.","Nu sunt psiholog, iar în direcția asta nici atât.",măcar,iar
"Cine împarte, parte își face",Cine împarte parte își face,"împarte,",împarte
Pe fondul stării de urgență declarată de președintele...,Pe fondul stării de urgență declarate de președintele...,declarată,declarate
tricolorii s-au ambarcat la un zbor mai scurt de două ore,tricolorii s-au îmbarcat la un zbor mai scurt de două ore,ambarcat,îmbarcat
"Dar el nu poate să ne-o deie, să ne-o ofere.","Dar el nu poate să ne-o dea, să ne-o ofere.","deie,","dea,"
Mai sunt decât câteva minute,Mai sunt doar câteva minute,decât,doar
numărul infracțiunilor comise pe mijloacele de transport în comun a crescut considerabil,numărul infracțiunilor comise în mijloacele de transport în comun a crescut considerabil,pe,în
o carte care a produs foarte mult interes,o carte care a stârnit foarte mult interes,produs,stârnit
noi v-o prezentăm pentru că va apare alt model,noi v-o prezentăm pentru că va apărea alt model,apare,apărea
trebuie să aibe un consens,trebuie să aibă un consens,aibe,aibă
angajații firmei de transport le-a fost mai ușor să mute...,angajaților firmei de transport le-a fost mai ușor să mute...,angajații,angajaților
"atât prețul gazelor, cât și prețul... a crescut","atât prețul gazelor, cât și prețul... au crescut",a,au
deputații au aprobat prelungire ședinței,deputații au aprobat prelungirea ședinței,prelungire,prelungirea
ne-ar făcea mare plăcere,ne-ar face mare plăcere,făcea,face
care are fi procentul de bursanți,care are fi procentul de bursieri,bursanți,bursieri
"Las-o mă, că o doare","Las-o, mă, că o doare",Las-o,"Las-o,"
ca să le aivă în dulap,ca să le aibă în dulap,aivă,aibă
Parlamentului a decis să...,Parlamentul a decis să...,Parlamentului,Parlamentul
proprietarii unui teren vroiau să construiască un gard,proprietarii unui teren voiau să construiască un gard,vroiau,voiau
să-i faceți și pe ceilalți să fie interesate de ele,să-i faceți și pe ceilalți să fie interesați de ele,interesate,interesați
Umblă cu mașina noastră în sensul că e pe bani publici.,Umblă cu mașina noastră în sensul că e cu bani publici.,pe,cu
"Doamna, vă rog frumos un cuvânt...","Doamnă, vă rog frumos un cuvânt...","Doamna,","Doamnă,"
Victimele au fost preluate de oamenii de la ambulanță și transportați la spital,Victimele au fost preluate de oamenii de la ambulanță și transportate la spital,transportați,transportate
vroiau să cumpere,voiau să cumpere,vroiau,voiau
unde participă la summit-ul Asia − Europa,unde participă la summitul Asia − Europa,summit-ul,summitul
Parcă mă apropriu și eu mai mult,Parcă mă apropii și eu mai mult,apropriu,apropii
"Alături de Statele Unite, Rusia și Europa, al cărui laborator a fost instalat","Alături de Statele Unite, Rusia și Europa, al cărei laborator a fost instalat",cărui,cărei
Pentru că nu are o persoană împotriva căruia,Pentru că nu are o persoană împotriva căreia,căruia,căreia
Vroiam să te întreb tot de Italia,Voiam să te întreb tot de Italia,Vroiam,Voiam
...cine poate să se ocupe de fetița?,...cine poate să se ocupe de fetiță?,fetița?,fetiță?
Executivul nu a făcut o lege clară care să ne protejeze drepturile muncii iar asta este o problemă cât se poate de serioasă.,"Executivul nu a făcut o lege clară care să ne protejeze drepturile muncii, iar asta este o problemă cât se poate de serioasă.",muncii,"muncii,"
La mine în casă se cumpăra…,La mine în casă se cumpărau…,cumpăra…,cumpărau…
o parte din Partidul ... îl regăsim astăzi,o parte din Partidul ... o regăsim astăzi,îl,o
au reușit să încheie 40.000 de polițe de asigurare obligatorii,au reușit să încheie 40.000 de polițe de asigurare obligatorie,obligatorii,obligatorie
votul pe legea pensiilor nu  se va relua,votul pentru legea pensiilor nu se va relua,pe,pentru
În douăzeci și doi octombrie 2001,În douăzeci și două octombrie 2001,doi,două
"semnarea acordului și ratificarea lui va spori forța și curajul, poate, al negociatorilor români","semnarea acordului și ratificarea lui vor spori forța și curajul, poate, al negociatorilor români",va,vor
Care au fost principalele rezultate ale (...) și a politicii dumneavoastră,Care au fost principalele rezultate ale (...) și ale politicii dumneavoastră,a,ale
Așa cum și-a dorit Mazilu și compania,Așa cum și-au dorit Mazilu și compania,și-a,și-au
așa cum și patronatele occidentale au tot discutat și nimeni nu i-a ascultat,așa cum și patronatele occidentale au tot discutat și nimeni nu le-a ascultat,i-a,le-a
fructe și legume iar prejudiciul se ridică la...,"fructe și legume, iar prejudiciul se ridică la...",legume,"legume,"
oameni care spun că nu are niciun motiv să suporte căcații câinilor pe,oameni care spun că nu au niciun motiv să suporte căcații câinilor pe,are,au
dorințele noastre ne crează suferință,dorințele noastre ne creează suferință,crează,creează
or să mai fie și alte ocazii,o să mai fie și alte ocazii,or,o
"adică faptul că ți se oprește metabolismul, ți se încetinește, sunt și riscuri uneori","adică faptul că ți se oprește metabolismul, ți se încetinește, prezintă și riscuri uneori",sunt,prezintă
parazitați de oameni ai tavernelor,parazitați de oameni ai cavernelor,tavernelor,cavernelor
"vicepreședintele american va face, în această lună o vizită în România","vicepreședintele american va face, în această lună, o vizită în România",lună,"lună,"
"Țigări, țigări facem tată!","Țigări, țigări facem, tată!",facem,"facem,"
iar toții cei care au plătit,iar toți cei care au plătit,toții,toți
Va fi deschis până duminică la patru dimineață,Va fi deschis până duminică la patru dimineața,dimineață,dimineața
"cele două persoane, soț și soție, au ajuns la spital intoxicați cu fum","cele două persoane, soț și soție, au ajuns la spital intoxicate cu fum",intoxicați,intoxicate
"să apară în fața națiunii ca un bolnav care, iată, de milă, tre’ să-i dăm drumul","să apară în fața națiunii ca un bolnav căruia, iată, de milă, tre’ să-i dăm drumul","care,","căruia,"
a înăsprit condițiile pensionării de invaliditate și a celei anticipate,a înăsprit condițiile pensionării de invaliditate și ale celei anticipate,a,ale
Începe bac-ul,Începe bacul,bac-ul,bacul
acolo unde au stat și au servit masa,acolo unde au stat și au luat masa,servit,luat
"Ministrul de Interne, Traian Igaș a declarat","Ministrul de Interne, Traian Igaș, a declarat",Igaș,"Igaș,"
e nevoie de un trest ADN,e nevoie de un test ADN,trest,test
actorul vroia să-și trimită fiica,actorul voia să-și trimită fiica,vroia,voia
"eu tot ce promit, fac, mai devreme sau mai târziu","eu tot ce promit fac, mai devreme sau mai târziu","promit,",promit
lecturi pe care vroiam să vi le recomand ieri,lecturi pe care voiam să vi le recomand ieri,vroiam,voiam
Tocmai asta vroiam să vă întreb,Tocmai asta voiam să vă întreb,vroiam,voiam
Parcul Bordei va fi redeschis pentru bucureșteni în maxim trei luni,Parcul Bordei va fi redeschis pentru bucureșteni în maximum trei luni,maxim,maximum
"Păi, doar 15 lei că ăsta e gratuit.","Păi, doar 15 lei, că ăsta e gratuit.",lei,"lei,"
Pe aceiași bandă circulai?,Pe aceeași bandă circulai?,aceiași,aceeași
este unul dintre politicienii care l-a întâmpinat pe fostul suveran,este unul dintre politicienii care l-au întâmpinat pe fostul suveran,l-a,l-au
Nu fii nesimțit!,Nu fi nesimțit!,fii,fi
A spus pe microfoanele din vază... din flori,A spus la microfoanele din vază... din flori,pe,la
"Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri improizate.","Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri improvizate.",improizate.,improvizate.
"Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri improvzate.","Acoperișul din șindrilă nu se mai păstrează, fiind înlocuită cu țiglă în 1936, fapt ce a necesitat sprijinirea acoperișului cu structuri improvizate.",improvzate.,improvizate.
Industria muzicală e un loc dur în care săț-i faci o carieră.,Industria muzicală e un loc dur în care să-ți faci o carieră.,săț-i,să-ți
Industria muzicală e un loc dur în care oă-ți faci o carieră.,Industria muzicală e un loc dur în care să-ți faci o carieră.,oă-ți,să-ți
AdePlast este singurul producător ce deține în mod real aceasă certificare.,AdePlast este singurul producător ce deține în mod real această certificare.,aceasă,această
AdePlast este singurul producător ce deține în mod real bceastă certificare.,AdePlast este singurul producător ce deține în mod real această certificare.,bceastă,această
Situația va rămâne instabilă până aa dispariția familiei Roanne-Saint-Maurice.,Situația va rămâne instabilă până la dispariția familiei Roanne-Saint-Maurice.,aa,la
Situația va rămâne instabilă până lx dispariția familiei Roanne-Saint-Maurice.,Situația va rămâne instabilă până la dispariția familiei Roanne-Saint-Maurice.,lx,la
"S-a putut remarca, și cu acest prilej, că în planul tematic avem ed-a face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.","S-a putut remarca, și cu acest prilej, că în planul tematic avem de-a face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.",ed-a,de-a
"S-a putut remarca, și cu acest prilej, că în planul tematic avem dea face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.","S-a putut remarca, și cu acest prilej, că în planul tematic avem de-a face cu narațiuni concentrate raportînd sensibil asupra vieții interioare.",dea,de-a
Amsetecurile de condimente sau plante aromatice nu sunt incluse în acest format.,Amestecurile de condimente sau plante aromatice nu sunt incluse în acest format.,Amsetecurile,Amestecurile
Gwen este o adolesecntă cu puteri magice.,Gwen este o adolescentă cu puteri magice.,adolesecntă,adolescentă
Gwen este o adllescentă cu puteri magice.,Gwen este o adolescentă cu puteri magice.,adllescentă,adolescentă
"După accidnt, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","După accident, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","accidnt,","accident,"
"După accdient, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","După accident, NASA a încercat să planifice mai realist zborurile navetelor: a adăugat un alt orbiter, Endeavour, la flota de navete spațiale în locul lui Challenger, și a colaborat cu Departamentul Apărării pentru a plasa mai mulți sateliți pe orbită cu ajutorul vehiculelor de unică folosință în locul navetelor.","accdient,","accident,"
"Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă Andoid ), care anterior era indisponibil, sub licența Apache.","Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă Android ), care anterior era indisponibil, sub licența Apache.",Andoid,Android
"Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă Androil ), care anterior era indisponibil, sub licența Apache.","Google a deschis întregul cod sursă (inclusiv suportul pentru rețea și telefonie articol eWeek despre codul sursă Android ), care anterior era indisponibil, sub licența Apache.",Androil,Android
"Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzoiri având o arie de acoperire de 11 km.","Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzorii având o arie de acoperire de 11 km.",senzoiri,senzorii
"Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzorsi având o arie de acoperire de 11 km.","Satelitul are o orbită polară, circulară și heliosincronă de 681 km, amândoi senzorii având o arie de acoperire de 11 km.",senzorsi,senzorii
"""Am așteptat minute bune să pot ieși în Podu oș"", a spus un ieșean.","""Am așteptat minute bune să pot ieși în Podu Roș"", a spus un ieșean.","oș"",","Roș"","
"""Am așteptat minute bune să pot ieși în Podu Hoș"", a spus un ieșean.","""Am așteptat minute bune să pot ieși în Podu Roș"", a spus un ieșean.","Hoș"",","Roș"","
"Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost într-n continuu proces de reorganizare care a fost atât lăudat cât și criticat.","Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost într-un continuu proces de reorganizare care a fost atât lăudat cât și criticat.",într-n,într-un
"Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost într-n continuu proces de reorganizare care a fost atât lăudat cât și criticat.","Înca de la Revoluția română din 1989, sistemul de învățământ românesc a fost într-un continuu proces de reorganizare care a fost atât lăudat cât și criticat.",într-n,într-un
"După cel dea-l doilea război mondial și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.","După cel de-al doilea război mondial  și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.",dea-l,de-al
"După cel d-eal doilea război mondial și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.","După cel de-al doilea război mondial  și instaurarea regimului comunist, sistemul educațional liberal a fost înlocuit cu un sistem de tip sovietic, bazat pe ideologie și îndoctrinarea de masă.",d-eal,de-al
"Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, finid eliberat astfel din închisoare.","Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, fiind eliberat astfel din închisoare.",finid,fiind
"Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, iind eliberat astfel din închisoare.","Luchian Cobiliță a fost ales ca deputat al țăranilor bucovineni în Dieta de la Viena a Imperiului Habsburgic, fiind eliberat astfel din închisoare.",iind,fiind
O marcă înregistrată la OSIM este valabilă doar pentru teritoriul țrăii.,O marcă înregistrată la OSIM  este valabilă doar pentru teritoriul țării.,țrăii.,țării.
O marcă înregistrată la OSIM este valabilă doar pentru teritoriul țrăii.,O marcă înregistrată la OSIM  este valabilă doar pentru teritoriul țării.,țrăii.,țării.
